Wavenumber,Intensities
282.29,1484.5839
283.8648680351906,1448.5099
285.43973607038123,1357.1515
287.0146041055719,1253.9927
288.5894721407625,1153.3116
290.1643401759531,1056.837
291.7392082111437,968.74176
293.3140762463343,865.9158
294.88894428152497,780.07306
296.4638123167156,690.95557
298.0386803519062,630.0934
299.6135483870968,561.51984
301.1884164222874,494.29108
302.76328445747805,427.78317
304.33815249266866,371.45917
305.91302052785926,316.22302
307.48788856304986,258.91815
309.06275659824047,219.9774
310.63762463343113,168.74377
312.21249266862173,161.77791
313.78736070381234,126.64086
315.36222873900294,99.73461
316.93709677419355,69.831894
318.5119648093842,64.538246
320.0868328445748,50.489346
321.6617008797654,24.31205
323.236568914956,23.879955
324.81143695014663,10.900328
326.3863049853373,19.919834
327.9611730205279,35.969707
329.5360410557185,46.902676
331.1109090909091,57.055485
332.6857771260997,68.741356
334.26064516129037,76.820076
335.835513196481,85.01881
337.4103812316716,80.40102
338.9852492668622,84.5385
340.5601173020528,88.8979
342.13498533724345,113.96424
343.70985337243405,157.90848
345.28472140762466,175.15413
346.85958944281526,187.3076
348.43445747800587,174.97017
350.0093255131965,184.79073
351.58419354838713,182.23499
353.15906158357774,186.3677
354.73392961876834,192.34549
356.30879765395895,200.4419
357.88366568914955,236.44318
359.4585337243402,254.13031
361.0334017595308,269.9558
362.6082697947214,290.68808
364.183137829912,309.95935
365.75800586510263,313.8761
367.3328739002933,332.17526
368.9077419354839,345.23602
370.4826099706745,360.09082
372.0574780058651,367.97363
373.6323460410557,402.48126
375.2072140762464,432.11807
376.782082111437,454.13486
378.3569501466276,470.98764
379.9318181818182,481.881
381.5066862170088,481.70288
383.08155425219945,488.3556
384.65642228739006,487.36737
386.23129032258066,501.30466
387.80615835777127,506.6169
389.3810263929618,504.5134
390.95589442815253,521.5701
392.53076246334314,537.1612
394.10563049853374,568.2665
395.68049853372435,570.95245
397.25536656891495,596.247
398.8302346041056,615.41144
400.4051026392962,657.7092
401.9799706744868,674.2248
403.5548387096774,688.2909
405.129706744868,707.88654
406.7045747800587,731.8796
408.2794428152493,744.5989
409.8543108504399,783.3217
411.42917888563056,816.40283
413.0040469208211,843.3468
414.5789149560118,864.2577
416.1537829912024,888.0236
417.728651026393,902.62415
419.3035190615837,929.46216
420.8783870967742,949.4431
422.45325513196485,983.07654
424.02812316715546,999.157
425.60299120234606,1014.0227
427.1778592375367,1007.13007
428.75272727272727,1015.18286
430.32759530791793,1048.5544
431.90246334310854,1069.9845
433.47733137829914,1089.679
435.0521994134898,1089.339
436.6270674486803,1081.3158
438.201935483871,1086.3156
439.7768035190616,1089.7833
441.3516715542522,1114.2086
442.9265395894429,1110.2777
444.50140762463343,1134.421
446.0762756598241,1129.247
447.6511436950147,1117.9127
449.2260117302053,1102.4731
450.800879765396,1094.0026
452.3757478005865,1090.1052
453.9506158357772,1082.1868
455.5254838709678,1090.9753
457.1003519061584,1091.5046
458.67521994134904,1093.6564
460.2500879765396,1089.2461
461.82495601173025,1067.2787
463.39982404692086,1051.5573
464.97469208211146,1052.4773
466.5495601173021,1075.3452
468.1244281524926,1080.901
469.6992961876834,1082.218
471.27416422287394,1081.2125
472.84903225806454,1075.9852
474.4239002932552,1072.0311
475.99876832844575,1059.7275
477.5736363636364,1054.096
479.148504398827,1034.9856
480.7233724340176,1000.67175
482.2982404692083,978.99115
483.8731085043988,978.48254
485.4479765395895,988.4119
487.0228445747801,1025.3889
488.5977126099707,1031.5481
490.17258064516136,1025.9894
491.7474486803519,1020.07947
493.32231671554257,1022.5999
494.8971847507332,1008.0661
496.4720527859238,1019.53326
498.0469208211144,1024.4169
499.621788856305,1022.1927
501.1966568914957,1020.5439
502.77152492668625,1028.0084
504.34639296187686,1037.733
505.9212609970675,1076.0996
507.49612903225807,1077.8314
509.07099706744873,1079.3999
510.64586510263933,1081.0906
512.2207331378299,1097.1462
513.7956011730206,1092.2775
515.3704692082111,1095.206
516.9453372434018,1106.4956
518.5202052785924,1119.0228
520.095073313783,1142.2072
521.6699413489737,1151.4504
523.2448093841642,1184.3362
524.8196774193549,1187.776
526.3945454545456,1196.875
527.9694134897361,1197.8441
529.5442815249268,1223.6971
531.1191495601173,1242.3766
532.694017595308,1247.8372
534.2688856304985,1242.4493
535.8437536656892,1242.9348
537.4186217008798,1243.9052
538.9934897360704,1238.9209
540.568357771261,1244.6807
542.1432258064517,1243.5731
543.7180938416423,1244.9451
545.2929618768328,1228.3726
546.8678299120235,1234.2811
548.4426979472141,1234.3268
550.0175659824047,1242.4862
551.5924340175953,1234.0171
553.167302052786,1238.5586
554.7421700879765,1232.4541
556.3170381231672,1216.4801
557.8919061583579,1201.2904
559.4667741935484,1184.9366
561.041642228739,1179.1387
562.6165102639296,1173.5297
564.1913782991203,1149.1271
565.7662463343108,1134.7982
567.3411143695015,1127.1865
568.9159824046922,1111.1595
570.4908504398827,1108.4194
572.0657184750734,1096.18
573.640586510264,1082.5817
575.2154545454546,1075.5798
576.7903225806451,1066.3351
578.3651906158358,1044.453
579.9400586510264,1034.4664
581.514926686217,1030.701
583.0897947214077,1017.8457
584.6646627565983,1006.3253
586.2395307917889,1003.4754
587.8143988269795,996.1981
589.3892668621702,1000.0264
590.9641348973607,992.6652
592.5390029325513,991.5871
594.113870967742,978.567
595.6887390029326,948.7073
597.2636070381232,933.99255
598.8384750733138,930.10297
600.4133431085045,932.2965
601.988211143695,931.16
603.5630791788857,906.67566
605.1379472140763,900.7195
606.7128152492669,902.7967
608.2876832844574,876.8903
609.8625513196481,874.5654
611.4374193548388,861.68555
613.0122873900293,856.10455
614.58715542522,849.87665
616.1620234604106,855.74396
617.7368914956012,856.98096
619.3117595307918,867.1671
620.8866275659825,860.73663
622.461495601173,861.7858
624.0363636363636,860.7487
625.6112316715543,865.45465
627.1860997067449,870.2514
628.7609677419355,887.2608
630.3358357771261,885.70795
631.9107038123168,884.92035
633.4855718475073,882.1636
635.060439882698,897.1941
636.6353079178887,908.5174
638.2101759530792,946.4583
639.7850439882698,952.0612
641.3599120234604,979.1985
642.9347800586511,976.1339
644.5096480938416,981.8102
646.0845161290323,980.3075
647.659384164223,979.14325
649.2342521994135,964.9356
650.8091202346042,963.85583
652.3839882697948,981.0353
653.9588563049854,970.0175
655.5337243401759,974.9096
657.1085923753666,967.42773
658.6834604105572,973.9516
660.2583284457478,971.4172
661.8331964809385,974.79767
663.4080645161291,968.3255
664.9829325513197,945.56494
666.5578005865103,942.2669
668.132668621701,917.6808
669.7075366568915,916.45654
671.2824046920821,913.7079
672.8572727272727,916.90393
674.4321407624634,915.06036
676.007008797654,929.706
677.5818768328446,919.7539
679.1567448680353,916.5584
680.7316129032258,921.7441
682.3064809384165,909.8291
683.8813489736071,904.2539
685.4562170087977,890.74084
687.0310850439882,900.01184
688.6059530791789,910.1467
690.1808211143696,912.24634
691.7556891495601,907.19934
693.3305571847508,908.2197
694.9054252199414,905.17426
696.480293255132,903.98413
698.0551612903226,903.44135
699.6300293255133,909.33606
701.2048973607039,897.56287
702.7797653958944,879.2221
704.3546334310851,875.3492
705.9295014662757,869.02075
707.5043695014663,857.0239
709.0792375366569,851.6954
710.6541055718476,862.22034
712.2289736070381,874.83923
713.8038416422288,869.28033
715.3787096774195,856.76935
716.95357771261,849.83514
718.5284457478006,828.0702
720.1033137829912,835.2373
721.6781818181819,839.3582
723.2530498533724,841.02826
724.8279178885631,821.5113
726.4027859237538,825.1194
727.9776539589443,816.0389
729.552521994135,808.5056
731.1273900293256,816.03955
732.7022580645162,826.0793
734.2771260997067,834.334
735.8519941348974,819.21594
737.426862170088,811.22363
739.0017302052786,834.8684
740.5765982404693,833.75397
742.1514662756599,843.9917
743.7263343108505,853.1643
745.3012023460411,858.45074
746.8760703812318,861.32477
748.4509384164223,876.1463
750.0258064516129,879.3725
751.6006744868035,882.5605
753.1755425219942,873.8938
754.7504105571848,863.5233
756.3252785923754,854.63824
757.9001466275661,855.765
759.4750146627566,815.7298
761.0498826979473,817.62476
762.624750733138,797.9189
764.1996187683285,782.97314
765.774486803519,750.8588
767.3493548387097,739.35425
768.9242228739004,732.3417
770.4990909090909,726.0713
772.0739589442816,706.401
773.6488269794722,696.982
775.2236950146628,674.5958
776.7985630498534,668.8221
778.3734310850441,660.10986
779.9482991202347,652.2303
781.5231671554252,648.8412
783.0980351906159,634.054
784.6729032258065,631.9843
786.2477712609971,639.5955
787.8226392961877,645.47125
789.3975073313784,635.8017
790.9723753665689,630.7261
792.5472434017596,627.30164
794.1221114369503,637.25757
795.6969794721408,649.15424
797.2718475073314,658.18384
798.8467155425221,646.5571
800.4215835777127,630.2834
801.9964516129032,625.7595
803.5713196480938,638.09204
805.1461876832846,644.0418
806.7210557184751,620.7673
808.2959237536656,613.5747
809.8707917888564,600.18555
811.445659824047,597.2479
813.0205278592375,596.07025
814.5953958944283,604.0872
816.1702639296188,590.3222
817.7451319648094,591.1067
819.3199999999999,564.0809
820.8948680351907,565.2043
822.4697360703813,555.2606
824.0446041055718,549.2219
825.6194721407626,546.88007
827.1943401759531,543.1343
828.7692082111437,552.2627
830.3440762463345,563.0654
831.918944281525,563.5905
833.4938123167155,555.8271
835.0686803519061,558.6244
836.6435483870969,579.98486
838.2184164222874,567.1783
839.793284457478,557.2736
841.3681524926687,542.8825
842.9430205278593,544.2209
844.5178885630498,558.68677
846.0927565982406,552.1164
847.6676246334312,567.9134
849.2424926686217,576.079
850.8173607038123,580.87286
852.392228739003,570.45734
853.9670967741936,557.5641
855.5419648093841,561.1928
857.1168328445749,550.3175
858.6917008797654,554.42194
860.266568914956,546.8236
861.8414369501468,537.7671
863.4163049853373,526.0957
864.9911730205279,527.55347
866.5660410557184,518.01324
868.1409090909092,510.63748
869.7157771260997,493.51227
871.2906451612903,494.2342
872.8655131964811,491.06952
874.4403812316716,493.63916
876.0152492668622,487.60098
877.5901173020529,471.8084
879.1649853372435,469.6079
